label,description,category,lat,lng
Texas Capitol,Meet on the south lawn,meeting-point,30.2747,-97.7404
Congress Avenue,Historic downtown view,photo-stop,30.2712,-97.7421
Old Bakery,Architectural detail,landmark,30.2693,-97.7428
Sixth Street,Neon and street scenes,photo-stop,30.2670,-97.7412
Driskill Hotel,Historic hotel facade,landmark,30.2673,-97.7410
Congress Bridge,Skyline viewpoint,photo-stop,30.2621,-97.7446
Butler Trail,Trail entrance,photo-stop,30.2596,-97.7461
Auditorium Shores,Group portrait stop,photo-stop,30.2605,-97.7514
City Hall,Final gathering point,meeting-point,30.2648,-97.7471

